"human","affiliate_group"
"0x0292c6d49cf04ca14c37786170efbc4fdced137a","0xbb9298d43d4bbe3db47cd96f24d186d57a672e73"
"0x0297739f6d8c513a02506ca36c294674d3c1e878","0x1aca75e38263c79d9d4f10df0635cc6fcfe6f026"
"0x029b28da5a0e72b4ce98b26502936122695b12be","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x02a599ba6d7669013e89462798272b1bfbcbabcc","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x02b50e87c577084b9659a625870b4a6e8a8e9238","0x1aca75e38263c79d9d4f10df0635cc6fcfe6f026"
"0x02b70559b391ce100069929629fafcfd234c4ac0","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x02bb02014f4f0d3e7562e2326926723bd550c0db","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x02befa435c36416d22dfc79eee14245e3d7f5790","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x02c178c9be63aea282ca39ea46e723e3a6529a9a","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x02c25fc7a49e756918f5cc5ccba55548b4943232","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x02c50ea78535e2a406b46c9986ba5d4b8e9c6d49","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x02d170e6e2cb373635e5bb4741108773e945b09e","0x1aca75e38263c79d9d4f10df0635cc6fcfe6f026"
"0x02d748d571730c12cfa2e9e88968f6677cca9a09","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x02e1ea7119cc8a9d36fb9955cf1b3890891b195a","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x02e6bd0d85ada38f62dbbec48f71b05f605ebc75","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x02e85024853657925c928f23654eaec7ec989b98","0x1aca75e38263c79d9d4f10df0635cc6fcfe6f026"
"0x02ec661817b66134ad7f8f870e62937f063bfd7f","0x1aca75e38263c79d9d4f10df0635cc6fcfe6f026"
"0x02ee7b4719b96a1109a186ad9af26f08babe350a","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x02f3562216ac00a7a77ae8868eea83ec6f1cb185","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x02f3a4e0b6dab4d6f4c0269a4e8d6c6e9829c61e","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x02f788ea20194b9a292c1a2e7ad15d8330ae0a8d","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x02faab461e21f3bf22f44e82079ce6ba3171e48e","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x0300b95dbcab78b2308899900a511f073c51d6a6","0x0b042f0b3048ef06c4a5b76d1a1b5a54c8ec7e7c"
"0x03059e70be461d2d47cbe8db8812531828577187","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x0305a58db5b93d939ad92e17e39f89e648cb230e","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x030b300041e9c0ce9e918aa0d77fc34c93aeeab3","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x030cafe74114a37bb7396b1cdc464f838d0673d7","0x5b17b07744ace4ac048caf3535bbf776790731d7"
"0x030ceeeb874515296704180a2b6b555b529503e9","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x030fa58dd5dfa70aae7057a7e61da36480eea0ee","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x03107d6faefc3fe323ec703152d725a8de96f99e","0x1aca75e38263c79d9d4f10df0635cc6fcfe6f026"
"0x0314c12e4bc49cdb289d7007aead56704ee61726","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x03209a18b6faf5a1a4783b8eb8c4d761b60b7cf5","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x03217c8ca6fc14885adb9a1fe17595c04ffa5b53","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x03277a442384ac94e9f3c96b6aaf7f19430e1e37","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x032a19bd362c45c63887059d379c37088023bff6","0x4e2564e5df6c1fb10c1a018538de36e4d5844de5"
"0x032e49ace4c6d5b6128146207f75c361f0991fa1","0x47fddaea064fed0852c44276c100052f8d34653d"
"0x0331c56d3c0bab38010066bc08108e8f1924af33","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x0333a86670dabc1955572220c80fbf63278cc977","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x03345ab82ec2cf3f8a49e4389f2d60979b31883f","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x0337b8bc0eb78a39639ba8e1a067522f04684dce","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x033db2c4d44bd8f2df24fdfba84e9668abc1b870","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x03443043f92fd2b63903e90161fc91f526e87aea","0x1aca75e38263c79d9d4f10df0635cc6fcfe6f026"
"0x03477c8fa1105c6bb8b1bdfa9b5d0f43099f03bf","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x034a0303cf01ca85f8f688de24d7d6c0b3c15585","0x4e2564e5df6c1fb10c1a018538de36e4d5844de5"
"0x034b2046e76675180d19cbb86d126de8855598f7","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x03511f0e105c25efe39316afcc994bc6e4efcc20","0x1d3663cebf6c7f54be62b210d68eea0e38838582"
"0x0357ce22b18c8b51e974f7b6767843355aefcfa5","0x5b17b07744ace4ac048caf3535bbf776790731d7"
"0x036f2d51dbc9d318c67a84211011d368bce67782","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x036f93919fe0674359d504e2ab12025d75ffdf84","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x03762e4998bdfb9b18e7f46d236c53bd2b81471a","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x037cc07fdc2f7a25b7a88eb9addfc01ff7201202","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x038aad51abf4dde693ed8a5b8876e593a6b6cd78","0xbb09fb833d5fa0a210fef144a9592e74a6e198df"
"0x038afdb1e5fec3b0ce68f0fae7e65771f2fa07eb","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x0395974da0fc683735c1fba3486ff6d97bd3af6a","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x039835d72389f2fef98a6df0bb8aa7c962c1a359","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x039cf7095815d866daac71e143ab3ac6d5112ce6","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x03a090a73e0444b05d738dae2a9172e9403577c7","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x03a348c02bf3a29ed15a7fa5c494b5be2dae6417","0x6cf165a39263984827d8c13829c60bd047b089e6"
"0x03ab6d0df8ea10407554cc99e59c8b4fe00a7db6","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x03bad75101120b2173011e41c774c81da2e9bfcf","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x03c034f7765b1a8f5ff6f87ba3ddbc14ac62eee0","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x03c0786e45c44ca66fc74b4bca173250380c7687","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
"0x03cb3dfd3271b21b546703ce43b3e56ff75619cb","0x86533d1ada8ffbe7b6f7244f9a1b707f7f3e239b"
"0x03cc4268ecf4b11042218fe4b811f813d9c54750","0xc64df4a72c62debbb46664303f5eebe749ae2c52"
"0x03cd39a36a8a9b120511b18a5a8a01fdcb6a9863","0x93ed5a96347927ff6ff6b790f8cf5258240c321f"
"0x03d5fac0e3f0b9b76093a32c09612734e6f1273d","0xc19bc204eb1c1d5b3fe500e5e5dfabab625f286c"
